"gene","accession","url","taxon","length","source_clade","query","status","date_downloaded"
"rvt","XP_067948803.1","https://www.ncbi.nlm.nih.gov/protein/XP_067948803.1","Watersipora subatra","1322","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949422.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949422.1","Watersipora subatra","349","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949453.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949453.1","Watersipora subatra","568","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949454.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949454.1","Watersipora subatra","1791","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949456.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949456.1","Watersipora subatra","1158","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949464.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949464.1","Watersipora subatra","1470","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949474.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949474.1","Watersipora subatra","907","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949604.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949604.1","Watersipora subatra","1935","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949631.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949631.1","Watersipora subatra","1296","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949641.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949641.1","Watersipora subatra","486","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949831.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949831.1","Watersipora subatra","1317","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949832.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949832.1","Watersipora subatra","1941","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949833.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949833.1","Watersipora subatra","1479","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067949849.1","https://www.ncbi.nlm.nih.gov/protein/XP_067949849.1","Watersipora subatra","489","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950301.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950301.1","Watersipora subatra","1976","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950302.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950302.1","Watersipora subatra","1848","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950303.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950303.1","Watersipora subatra","1899","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950377.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950377.1","Watersipora subatra","162","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950440.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950440.1","Watersipora subatra","567","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950459.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950459.1","Watersipora subatra","281","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950522.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950522.1","Watersipora subatra","1576","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067950597.1","https://www.ncbi.nlm.nih.gov/protein/XP_067950597.1","Watersipora subatra","1504","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067951387.1","https://www.ncbi.nlm.nih.gov/protein/XP_067951387.1","Watersipora subatra","1385","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067929545.1","https://www.ncbi.nlm.nih.gov/protein/XP_067929545.1","Watersipora subatra","1914","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067930506.1","https://www.ncbi.nlm.nih.gov/protein/XP_067930506.1","Watersipora subatra","259","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067930528.1","https://www.ncbi.nlm.nih.gov/protein/XP_067930528.1","Watersipora subatra","684","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"rvt","XP_067930533.1","https://www.ncbi.nlm.nih.gov/protein/XP_067930533.1","Watersipora subatra","639","Bryozoa","""reverse transcriptase"" AND txid10205[Organism:exp] AND srcdb_refseq[PROP]","fetched","2026-06-11"
"dnaB","NA","NA","NA","NA","Hydrozoa","NA","no_hits","2026-06-11"
"im","NA","NA","NA","NA","Bryozoa;Sipuncula","NA","manual_needed","2026-06-11"
"orf167","NA","NA","NA","NA","Demospongiae","NA","manual_needed","2026-06-11"
"orf1535","NA","NA","NA","NA","Demospongiae","NA","manual_needed","2026-06-11"
"orf","NA","NA","NA","NA","Nemertea;Pycnogonida","NA","manual_needed","2026-06-11"
"orf314","BK067251.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067251.1","Morbakka virulenta","121","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","BK067226.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067226.1","Chrysaora achlyos","106","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700949.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700949.1","Pelagia noctiluca","106","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN642341.1","https://www.ncbi.nlm.nih.gov/nuccore/JN642341.1","Alatina alata","104","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN642342.1","https://www.ncbi.nlm.nih.gov/nuccore/JN642342.1","Alatina alata","104","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700937.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700937.1","Cyanea capillata","104","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400213.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400213.1","Morbakka sp. MKL-2023","102","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","PV987728.2","https://www.ncbi.nlm.nih.gov/nuccore/PV987728.2","Morbakka virulenta","102","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700934.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700934.1","Cassiopea andromeda","101","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700936.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700936.1","Cassiopea xamachana","101","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400201.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400201.1","Phyllorhiza punctata","100","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400206.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400206.1","Cassiopea sp. MKL-2023","100","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","PP763743.1","https://www.ncbi.nlm.nih.gov/nuccore/PP763743.1","Cephea cephea","100","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","BK067229.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067229.1","Scolionema suvaense","99","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","BK067242.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067242.1","Tamoya ohboya","99","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400203.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400203.1","Acromitus sp. 1 MKL-2023","99","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400205.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400205.1","Phyllorhiza punctata","99","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","KT809327.1","https://www.ncbi.nlm.nih.gov/nuccore/KT809327.1","Liriope tetraphylla","98","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","OR400204.1","https://www.ncbi.nlm.nih.gov/nuccore/OR400204.1","Mastigias sp.","97","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","PP763744.1","https://www.ncbi.nlm.nih.gov/nuccore/PP763744.1","Mastigias albipunctata","97","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","BK067235.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067235.1","Chironex yamaguchii","96","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700942.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700942.1","Cubaia aphrodite","96","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","KU707221.1","https://www.ncbi.nlm.nih.gov/nuccore/KU707221.1","Alatina alata","96","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","BK067228.1","https://www.ncbi.nlm.nih.gov/nuccore/BK067228.1","Haliclystus inabai","95","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
"orf314","JN700944.1","https://www.ncbi.nlm.nih.gov/nuccore/JN700944.1","Haliclystus sanjuanensis","95","Cnidaria (Medusozoa)","""Cnidaria""[Organism] AND orf314[All Fields]","included","2026-07-07"
